"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.828478964401294","0.0","0.20710455764075067","0.0","1","9","false","A1KXE4","12.0","0","1","0","0.9436988387588044","false","0","A1KXE4","0","0.0"
"3.831715210355987","0.1129323750682974","0.26097972972972977","0.0","12","8","false","P21549","4.166666666666667","0","12","0","0.9583571292594709","false","0","P21549","10748","0.08333333333333333"
"0.0","0.0","0.0","0.0","0","0","true","A1KZ92","0.0","0","0","0","Infinity","false","0","A1KZ92","0","0.0"
"2.0833333333333335","0.0","0.48","0.0","1","3","false","A1L0T0","21.0","0","1","0","0.9484126984126985","false","0","A1L0T0","0","0.0"
"1.125","0.9891304347826088","0.8888888888888888","0.0","21","2","false","Q8TAP6","1.1428571428571428","0","21","0","0.9940476190476191","false","0","Q8TAP6","546","0.047619047619047616"
"0.0","0.0","0.0","0.0","0","0","true","A1L167","0.0","0","0","0","Infinity","false","0","A1L167","0","0.0"
"3.888888888888889","0.0","0.2571428571428572","0.0","1","7","false","A1L190","9.0","0","1","0","0.9037037037037037","false","0","A1L190","0","0.0"
"2.8958333333333335","0.19687257187257187","0.3453237410071942","0.0","9","6","false","Q9UL45","4.555555555555555","0","9","0","0.9368055555555556","false","0","Q9UL45","4054","0.1111111111111111"
"0.0","0.0","0.0","0.0","0","0","true","A1L390","0.0","0","0","0","Infinity","false","0","A1L390","0","0.0"
"3.6879432624113475","0.0","0.27115384615384613","0.0","1","7","false","A1L3X0","13.0","0","1","0","0.9788350924219579","false","0","A1L3X0","0","0.0"
"2.6914893617021276","0.24242194795689156","0.3715415019762846","0.0","13","6","false","Q9UHX3","12.153846153846153","0","13","0","0.9866811861283298","false","0","Q9UHX3","19210","0.07692307692307693"
"5.265625","0.0","0.18991097922848665","0.0","1","9","false","A1L4H1","5.0","0","1","0","0.8877467105263158","false","0","A1L4H1","0","0.0"
"4.270833333333333","0.061572862129144854","0.23414634146341465","0.0","5","8","false","Q6QNY1","3.8","0","5","0","0.9139254385964911","false","0","Q6QNY1","2258","0.2"
"3.721590909090909","0.045","0.2687022900763359","0.0","4","6","false","A1L4K1","8.75","0","4","0","0.9175275482093663","false","0","A1L4K1","1386","0.25"
"2.772727272727273","0.5474025974025974","0.360655737704918","0.0","31","5","false","P29972","2.193548387096774","0","31","0","0.9462809917355371","false","0","P29972","16860","0.03225806451612903"
"0.0","0.0","0.0","0.0","0","0","true","A1X283","0.0","0","0","0","Infinity","false","0","A1X283","0","0.0"
"2.3333333333333335","0.0","0.42857142857142855","0.0","1","4","false","A1XBS5","4.0","0","1","0","0.6666666666666666","false","0","A1XBS5","0","0.0"
"1.5","0.8","0.6666666666666666","0.0","4","3","false","Q9Y3M2","1.25","0","4","0","0.875","false","0","Q9Y3M2","24","0.25"
"0.0","0.0","0.0","0.0","0","0","true","A1Z1Q3","0.0","0","0","0","Infinity","false","0","A1Z1Q3","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2A288","0.0","0","0","0","Infinity","false","0","A2A288","0","0.0"
"2.272727272727273","0.0","0.43999999999999995","0.0","1","4","false","A2A2Y4","8.0","0","1","0","0.8409090909090908","false","0","A2A2Y4","0","0.0"
"1.3636363636363635","0.9272727272727272","0.7333333333333334","0.0","9","3","false","Q96FZ5","1.25","0","9","1","0.9545454545454546","false","0","Q96FZ5","102","0.125"
"4.386023294509151","0.0","0.22799696509863432","0.0","1","8","false","A2IDD5","16.0","0","1","0","0.9581972432776648","false","0","A2IDD5","0","0.0"
"3.387687188019967","0.04933444259567388","0.2951866404715128","0.0","16","7","false","Q0VD86","6.0","0","16","0","0.9705223803948152","false","0","Q0VD86","17790","0.0625"
"0.0","0.0","0.0","0.0","0","0","true","A2PYH4","0.0","0","0","0","Infinity","false","0","A2PYH4","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2RRP1","0.0","0","0","0","Infinity","false","0","A2RRP1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","A2RTX5","1.0","0","1","0","1.0","false","0","A2RTX5","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false"," cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)""","1.0","0","1","0","1.0","false","0"," cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)""","0","0.0"
"3.0","0.0","0.3333333333333333","0.0","1","5","false","A2RU14","6.0","0","1","0","0.8823529411764706","false","0","A2RU14","0","0.0"
"2.0344827586206895","0.37438423645320196","0.4915254237288136","0.0","6","4","false","Q96BI3","3.8333333333333335","0","6","0","0.9391480730223123","false","0","Q96BI3","304","0.16666666666666666"
"0.0","0.0","0.0","0.0","0","0","true","A2RU30","0.0","0","0","0","Infinity","false","0","A2RU30","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2RU49","0.0","0","0","0","Infinity","false","0","A2RU49","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2RUB1","0.0","0","0","0","Infinity","false","0","A2RUB1","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2RUB6","0.0","0","0","0","Infinity","false","0","A2RUB6","0","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","A2RUC4","2.0","0","1","0","0.75","false","0","A2RUC4","0","0.0"
"1.0","1.0","1.0","0.0","3","1","false","A5A3E0","1.0","0","3","1","1.0","false","0","A5A3E0","2","0.0"
"3.6507936507936507","0.0","0.2739130434782609","0.0","1","6","false","A2RUH7","18.0","0","1","0","0.9803644914756027","false","0","A2RUH7","0","0.0"
"2.653968253968254","0.11713679102214135","0.37679425837320574","0.0","18","5","false","P27797","8.555555555555555","0","18","0","0.9877483833039388","false","0","P27797","11586","0.05555555555555555"
"0.0","0.0","0.0","0.0","0","0","true","A2VDJ0","0.0","0","0","0","Infinity","false","0","A2VDJ0","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A2VEC9","0.0","0","0","0","Infinity","false","0","A2VEC9","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A3KMH1","0.0","0","0","0","Infinity","false","0","A3KMH1","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A4D0S4","0.0","0","0","0","Infinity","false","0","A4D0S4","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A4D126","0.0","0","0","0","Infinity","false","0","A4D126","0","0.0"
